,RunId,iteration,Step,width,height,N,seed,Gini,AgentID,Wealth
2000,0,0,100,10,10,20,3,0.635,0,2
3020,1,0,100,10,10,10,3,0.32000000000000006,0,1
4030,2,0,100,10,10,10,1,0.6600000000000001,0,0
7040,3,0,100,10,10,30,2,0.6844444444444445,0,0
8070,4,0,100,10,10,10,0,0.6200000000000001,0,1
9080,5,0,100,10,10,10,4,0.4800000000000001,0,2
11090,6,0,100,10,10,20,4,0.54,0,2
14110,7,0,100,10,10,30,3,0.6666666666666667,0,1
16140,8,0,100,10,10,20,2,0.68,0,0
19160,9,0,100,10,10,30,4,0.6155555555555556,0,0
21190,10,0,100,10,10,20,0,0.585,0,2
25210,11,0,100,10,10,40,0,0.7,0,0
29250,12,0,100,10,10,40,1,0.6974999999999999,0,0
33290,13,0,100,10,10,40,2,0.6812499999999999,0,1
37330,14,0,100,10,10,40,3,0.6699999999999999,0,0
41370,15,0,100,10,10,40,4,0.6449999999999999,0,0
46410,16,0,100,10,10,50,0,0.6496,0,1
48460,17,0,100,10,10,20,1,0.68,0,0
53480,18,0,100,10,10,50,1,0.624,0,1
54530,19,0,100,10,10,10,2,0.6400000000000001,0,0
57540,20,0,100,10,10,30,1,0.6244444444444446,0,0
62570,21,0,100,10,10,50,2,0.6136,0,0
67620,22,0,100,10,10,50,3,0.6424000000000001,0,5
72670,23,0,100,10,10,50,4,0.6032,0,1
78720,24,0,100,10,10,60,1,0.691111111111111,0,0
84780,25,0,100,10,10,60,0,0.7005555555555555,0,0
90840,26,0,100,10,10,60,2,0.7055555555555555,0,0
93900,27,0,100,10,10,30,0,0.6511111111111112,0,2
99930,28,0,100,10,10,60,3,0.6194444444444445,0,0
105990,29,0,100,10,10,60,4,0.7322222222222221,0,1
113050,30,0,100,10,10,70,0,0.6885714285714285,0,2
120120,31,0,100,10,10,70,3,0.6983673469387754,0,1
127190,32,0,100,10,10,70,2,0.6008163265306121,0,0
134260,33,0,100,10,10,70,1,0.657142857142857,0,0
141330,34,0,100,10,10,70,4,0.7048979591836735,0,0
149400,35,0,100,10,10,80,0,0.6934374999999999,0,4
157480,36,0,100,10,10,80,1,0.6425,0,0
165560,37,0,100,10,10,80,3,0.6812499999999999,0,1
173640,38,0,100,10,10,80,2,0.621875,0,0
181720,39,0,100,10,10,80,4,0.6646874999999999,0,0
190800,40,0,100,10,10,90,0,0.6869135802469135,0,1
199890,41,0,100,10,10,90,1,0.6987654320987654,0,2
208980,42,0,100,10,10,90,2,0.6859259259259258,0,0
218070,43,0,100,10,10,90,3,0.6479012345679012,0,3
227160,44,0,100,10,10,90,4,0.6301234567901235,0,0
237250,45,0,100,10,10,100,1,0.6758,0,0
247350,46,0,100,10,10,100,0,0.7041999999999999,0,2
257450,47,0,100,10,10,100,2,0.6324000000000001,0,0
267550,48,0,100,10,10,100,3,0.649,0,0
277650,49,0,100,10,10,100,4,0.6434,0,2
288750,50,0,100,10,10,110,0,0.6024793388429752,0,0
299860,51,0,100,10,10,110,2,0.6352066115702479,0,2
310970,52,0,100,10,10,110,1,0.6515702479338843,0,1
