,Gini
0,0.0
1,0.1472
2,0.4224
3,0.45520000000000005
4,0.476
5,0.46799999999999997
6,0.49840000000000007
7,0.5192
8,0.5272
9,0.5512
10,0.5912
11,0.6096
12,0.6384000000000001
13,0.6192
14,0.6616
15,0.6696
16,0.656
17,0.6335999999999999
18,0.5896
19,0.6424000000000001
20,0.66
21,0.6224000000000001
22,0.6008
23,0.6295999999999999
24,0.5808
25,0.6136
26,0.6136
27,0.5704
28,0.5704
29,0.5640000000000001
30,0.5752
31,0.6024
32,0.5848
33,0.6136
34,0.6184000000000001
35,0.652
36,0.6384000000000001
37,0.6384000000000001
38,0.6384000000000001
39,0.6232
40,0.6144000000000001
41,0.6344000000000001
42,0.6576
43,0.6672
44,0.6672
45,0.6752
46,0.6799999999999999
47,0.6688000000000001
48,0.7032
49,0.7263999999999999
50,0.7016
51,0.6536
52,0.6536
53,0.6936
54,0.6776
55,0.696
56,0.7064
57,0.6952
58,0.6528
59,0.6752
60,0.7056
61,0.7168
62,0.7136
63,0.7104
64,0.7168
65,0.7144
66,0.6904
67,0.672
68,0.6896
69,0.72
70,0.6896
71,0.7056
72,0.7112
73,0.7208
74,0.7032
75,0.7343999999999999
76,0.7096
77,0.7248
78,0.7352000000000001
79,0.7224
80,0.7272000000000001
81,0.7112
82,0.7312000000000001
83,0.7192000000000001
84,0.6864
85,0.6784
86,0.6408
87,0.6464000000000001
88,0.6504000000000001
89,0.6712
90,0.6856
91,0.6616
92,0.6984
93,0.668
94,0.6408
95,0.6744
96,0.6792
97,0.6384000000000001
98,0.6432
99,0.6432
